0,0,-1.0,-1.0,3747.2,0.04291
1,0,-1.0,-1.0,3765.0,0.04267
2,0,-1.0,-1.0,3708.0,0.0434
0,0,1.0,-1.0,1993.8,0.040381
1,0,1.0,-1.0,2025.4,0.039808
2,0,1.0,-1.0,2044.7,0.039589
0,0,-1.0,1.0,3749.8,0.04308
1,0,-1.0,1.0,3775.7,0.042914
2,0,-1.0,1.0,3766.6,0.042762
0,0,1.0,1.0,2021.3,0.041611
1,0,1.0,1.0,2023.7,0.041025
2,0,1.0,1.0,2012.2,0.040963
0,1,-1.0,-1.0,6734.3,0.026354
1,1,-1.0,-1.0,6632.7,0.027192
2,1,-1.0,-1.0,6416.7,0.026504
0,1,1.0,-1.0,5871.9,0.014957
1,1,1.0,-1.0,5813.6,0.015272
2,1,1.0,-1.0,5955.1,0.015471
0,1,-1.0,1.0,6560.6,0.026764
1,1,-1.0,1.0,5941.4,0.028566
2,1,-1.0,1.0,6762.8,0.027106
0,1,1.0,1.0,6073.0,0.01427
1,1,1.0,1.0,5929.9,0.013845
2,1,1.0,1.0,6202.5,0.013547
0,2,-1.0,-1.0,6727.8,0.02547
1,2,-1.0,-1.0,6755.6,0.024371
2,2,-1.0,-1.0,6773.9,0.023986
0,2,1.0,-1.0,5971.0,0.014068
1,2,1.0,-1.0,5976.0,0.014587
2,2,1.0,-1.0,5834.3,0.014365
0,2,-1.0,1.0,6747.4,0.025026
1,2,-1.0,1.0,6696.0,0.025289
2,2,-1.0,1.0,6543.7,0.025362
0,2,1.0,1.0,6278.0,0.013567
1,2,1.0,1.0,6190.1,0.014167
2,2,1.0,1.0,6003.8,0.014198
0,3,-1.0,-1.0,6873.8,0.023829
1,3,-1.0,-1.0,6930.9,0.024655
2,3,-1.0,-1.0,6800.7,0.024215
0,3,1.0,-1.0,6972.4,0.012077
1,3,1.0,-1.0,6931.9,0.011802
2,3,1.0,-1.0,6940.3,0.011834
0,3,-1.0,1.0,6825.6,0.024172
1,3,-1.0,1.0,6842.6,0.025176
2,3,-1.0,1.0,6788.6,0.025578
0,3,1.0,1.0,6873.4,0.012101
1,3,1.0,1.0,6678.8,0.013091
2,3,1.0,1.0,6889.3,0.01194
