Repl,inline-functions,unswitch-loops,predictive-commoning,gcse-after-reload,tree-loop-distribute-patterns,tree-slp-vectorize,vect-cost-model,tree-partial-pre,ipa-cp-clone,Best Rate,Avg Time
0,0,0,0,0,1,1,1,1,0,6877.8,0.023431
1,0,0,0,0,1,1,1,1,0,6914.2,0.023413
2,0,0,0,0,1,1,1,1,0,6865.8,0.023496
0,0,0,0,0,1,1,1,1,1,4075.7,0.045475
1,0,0,0,0,1,1,1,1,1,4906.9,0.042099
2,0,0,0,0,1,1,1,1,1,3937.7,0.04429
0,0,0,0,1,0,0,0,0,0,6008.1,0.027982
1,0,0,0,1,0,0,0,0,0,6276.5,0.029235
2,0,0,0,1,0,0,0,0,0,6536.7,0.027394
0,0,0,0,1,0,0,0,0,1,3971.3,0.042881
1,0,0,0,1,0,0,0,0,1,4791.6,0.039874
2,0,0,0,1,0,0,0,0,1,4220.3,0.041781
0,0,0,0,1,0,0,0,1,0,6416.4,0.026767
1,0,0,0,1,0,0,0,1,0,6642.6,0.024398
2,0,0,0,1,0,0,0,1,0,6707.5,0.024306
0,0,0,0,1,0,0,0,1,1,5357.3,0.039298
1,0,0,0,1,0,0,0,1,1,5017.6,0.041419
2,0,0,0,1,0,0,0,1,1,4516.7,0.040723
0,0,0,0,1,0,0,1,0,0,6627.4,0.024481
1,0,0,0,1,0,0,1,0,0,6667.0,0.024659
2,0,0,0,1,0,0,1,0,0,6634.3,0.024431
0,0,0,0,1,0,0,1,0,1,4671.7,0.040094
1,0,0,0,1,0,0,1,0,1,5539.4,0.038707
2,0,0,0,1,0,0,1,0,1,4080.3,0.041684
0,0,0,0,1,0,0,1,1,0,6802.7,0.023779
1,0,0,0,1,0,0,1,1,0,6813.4,0.023679
2,0,0,0,1,0,0,1,1,0,6821.5,0.023853
0,0,0,0,1,0,0,1,1,1,5273.6,0.03669
1,0,0,0,1,0,0,1,1,1,5560.8,0.034389
2,0,0,0,1,0,0,1,1,1,5649.1,0.032909
0,0,0,0,1,0,1,0,0,0,6653.9,0.024931
1,0,0,0,1,0,1,0,0,0,6761.3,0.02644
2,0,0,0,1,0,1,0,0,0,6812.6,0.024471
0,0,0,0,1,0,1,0,0,1,5841.1,0.038603
1,0,0,0,1,0,1,0,0,1,4433.6,0.040362
2,0,0,0,1,0,1,0,0,1,4167.3,0.041615
0,0,0,0,1,0,1,0,1,0,6830.6,0.023597
1,0,0,0,1,0,1,0,1,0,6834.1,0.023612
2,0,0,0,1,0,1,0,1,0,6812.3,0.02376
0,0,0,0,1,0,1,0,1,1,5094.2,0.041144
1,0,0,0,1,0,1,0,1,1,3552.0,0.047538
2,0,0,0,1,0,1,0,1,1,6310.9,0.042508
0,0,0,0,1,0,1,1,0,0,6712.2,0.024281
1,0,0,0,1,0,1,1,0,0,6767.7,0.024556
2,0,0,0,1,0,1,1,0,0,6689.5,0.024505
0,0,0,0,1,0,1,1,0,1,5107.6,0.034921
