Repl,inline-functions,unswitch-loops,predictive-commoning,gcse-after-reload,tree-loop-distribute-patterns,tree-slp-vectorize,vect-cost-model,tree-partial-pre,ipa-cp-clone,Best Rate,Avg Time
0,0,0,0,0,1,1,1,1,0,7166.8,0.033837
1,0,0,0,0,1,1,1,1,0,7161.4,0.033912
2,0,0,0,0,1,1,1,1,0,7191.5,0.033784
0,0,0,0,0,1,1,1,1,1,4592.7,0.062803
1,0,0,0,0,1,1,1,1,1,5263.4,0.058893
2,0,0,0,0,1,1,1,1,1,4115.4,0.064762
0,0,0,0,1,0,0,0,0,0,6214.4,0.040608
1,0,0,0,1,0,0,0,0,0,6189.6,0.041248
2,0,0,0,1,0,0,0,0,0,6906.5,0.03766
0,0,0,0,1,0,0,0,0,1,4698.8,0.056557
1,0,0,0,1,0,0,0,0,1,4573.2,0.059592
2,0,0,0,1,0,0,0,0,1,4652.4,0.057737
0,0,0,0,1,0,0,0,1,0,6911.6,0.036749
1,0,0,0,1,0,0,0,1,0,7102.3,0.034908
2,0,0,0,1,0,0,0,1,0,7038.9,0.034943
0,0,0,0,1,0,0,0,1,1,4605.3,0.058976
1,0,0,0,1,0,0,0,1,1,4817.4,0.057902
2,0,0,0,1,0,0,0,1,1,4940.4,0.058326
0,0,0,0,1,0,0,1,0,0,6977.4,0.034956
1,0,0,0,1,0,0,1,0,0,6961.7,0.03514
2,0,0,0,1,0,0,1,0,0,6973.9,0.03592
0,0,0,0,1,0,0,1,0,1,5415.8,0.055748
1,0,0,0,1,0,0,1,0,1,4828.6,0.055507
2,0,0,0,1,0,0,1,0,1,4435.7,0.059201
0,0,0,0,1,0,0,1,1,0,7133.9,0.034264
1,0,0,0,1,0,0,1,1,0,7137.8,0.034196
2,0,0,0,1,0,0,1,1,0,7165.1,0.033932
0,0,0,0,1,0,0,1,1,1,5535.2,0.051477
1,0,0,0,1,0,0,1,1,1,5224.9,0.050207
2,0,0,0,1,0,0,1,1,1,5227.7,0.051775
0,0,0,0,1,0,1,0,0,0,6995.9,0.035814
1,0,0,0,1,0,1,0,0,0,6784.3,0.038147
2,0,0,0,1,0,1,0,0,0,6983.2,0.034854
0,0,0,0,1,0,1,0,0,1,4539.5,0.058606
1,0,0,0,1,0,1,0,0,1,4874.9,0.057034
2,0,0,0,1,0,1,0,0,1,4407.5,0.059871
0,0,0,0,1,0,1,0,1,0,7221.3,0.034115
1,0,0,0,1,0,1,0,1,0,7171.8,0.03387
2,0,0,0,1,0,1,0,1,0,7126.3,0.034038
0,0,0,0,1,0,1,0,1,1,4327.1,0.063608
1,0,0,0,1,0,1,0,1,1,4289.9,0.063536
2,0,0,0,1,0,1,0,1,1,4574.8,0.062328
0,0,0,0,1,0,1,1,0,0,6950.3,0.035328
1,0,0,0,1,0,1,1,0,0,6949.9,0.035275
2,0,0,0,1,0,1,1,0,0,7057.0,0.034523
0,0,0,0,1,0,1,1,0,1,5897.8,0.049614
1,0,0,0,1,0,1,1,0,1,4975.1,0.051182
2,0,0,0,1,0,1,1,0,1,6351.6,0.049471
0,0,0,0,1,0,1,1,1,0,7111.4,0.03398
1,0,0,0,1,0,1,1,1,0,7106.1,0.034071
2,0,0,0,1,0,1,1,1,0,7102.1,0.034106
0,0,0,0,1,0,1,1,1,1,4498.9,0.065586
1,0,0,0,1,0,1,1,1,1,5919.5,0.060108
2,0,0,0,1,0,1,1,1,1,4385.6,0.063277
0,0,0,0,1,1,0,0,0,0,7045.7,0.034709
1,0,0,0,1,1,0,0,0,0,6991.6,0.035435
2,0,0,0,1,1,0,0,0,0,6995.7,0.034698
0,0,0,0,1,1,0,0,0,1,4837.3,0.056832
1,0,0,0,1,1,0,0,0,1,4861.1,0.056018
2,0,0,0,1,1,0,0,0,1,4987.3,0.055651
0,0,0,0,1,1,0,0,1,0,7183.7,0.033775
1,0,0,0,1,1,0,0,1,0,7166.7,0.033848
2,0,0,0,1,1,0,0,1,0,7193.2,0.033841
0,0,0,0,1,1,0,0,1,1,6234.3,0.050251
1,0,0,0,1,1,0,0,1,1,6633.3,0.049546
2,0,0,0,1,1,0,0,1,1,6060.9,0.050017
0,0,0,0,1,1,0,1,0,0,7039.4,0.034894
1,0,0,0,1,1,0,1,0,0,7037.5,0.034772
2,0,0,0,1,1,0,1,0,0,7013.4,0.035005
0,0,0,0,1,1,0,1,0,1,5689.8,0.055621
1,0,0,0,1,1,0,1,0,1,4257.3,0.059398
2,0,0,0,1,1,0,1,0,1,5863.7,0.054243
0,0,0,0,1,1,0,1,1,0,7158.2,0.033749
1,0,0,0,1,1,0,1,1,0,7235.2,0.033798
2,0,0,0,1,1,0,1,1,0,7175.1,0.033717
0,0,0,0,1,1,0,1,1,1,4318.0,0.063417
1,0,0,0,1,1,0,1,1,1,4417.9,0.060935
2,0,0,0,1,1,0,1,1,1,4785.3,0.0637
0,0,0,0,1,1,1,0,0,0,7049.9,0.035115
1,0,0,0,1,1,1,0,0,0,7050.7,0.034891
2,0,0,0,1,1,1,0,0,0,7057.4,0.034302
0,0,0,0,1,1,1,0,0,1,4406.0,0.058432
1,0,0,0,1,1,1,0,0,1,4507.3,0.056912
2,0,0,0,1,1,1,0,0,1,5104.8,0.056967
0,0,0,0,1,1,1,0,1,0,7236.3,0.033608
1,0,0,0,1,1,1,0,1,0,7230.4,0.033688
2,0,0,0,1,1,1,0,1,0,7178.1,0.033836
0,0,0,0,1,1,1,0,1,1,4968.6,0.062369
1,0,0,0,1,1,1,0,1,1,5656.1,0.062822
2,0,0,0,1,1,1,0,1,1,4601.1,0.062864
0,0,0,0,1,1,1,1,0,0,7071.5,0.034485
1,0,0,0,1,1,1,1,0,0,7093.3,0.034671
2,0,0,0,1,1,1,1,0,0,7026.2,0.034468
0,0,0,0,1,1,1,1,0,1,4819.8,0.054489
1,0,0,0,1,1,1,1,0,1,5237.5,0.055156
2,0,0,0,1,1,1,1,0,1,4431.8,0.057713
0,0,0,0,1,1,1,1,1,0,7189.1,0.033784
1,0,0,0,1,1,1,1,1,0,7202.7,0.033678
2,0,0,0,1,1,1,1,1,0,7193.8,0.033959
0,0,0,0,1,1,1,1,1,1,4320.1,0.063938
1,0,0,0,1,1,1,1,1,1,4779.2,0.062179
2,0,0,0,1,1,1,1,1,1,3990.8,0.064495
0,0,0,1,0,0,0,0,0,0,7024.1,0.034899
1,0,0,1,0,0,0,0,0,0,7086.1,0.034694
2,0,0,1,0,0,0,0,0,0,7037.3,0.035691
0,0,0,1,0,0,0,0,0,1,4804.7,0.055982
1,0,0,1,0,0,0,0,0,1,5034.4,0.054868
2,0,0,1,0,0,0,0,0,1,4426.4,0.057648
0,0,0,1,0,0,0,0,1,0,7050.7,0.035367
1,0,0,1,0,0,0,0,1,0,6965.4,0.035304
2,0,0,1,0,0,0,0,1,0,7050.9,0.034991
0,0,0,1,0,0,0,0,1,1,4508.3,0.056885
1,0,0,1,0,0,0,0,1,1,5057.3,0.056812
2,0,0,1,0,0,0,0,1,1,4504.7,0.059288
0,0,0,1,0,0,0,1,0,0,6925.4,0.035139
1,0,0,1,0,0,0,1,0,0,7050.3,0.034907
2,0,0,1,0,0,0,1,0,0,6960.6,0.035351
0,0,0,1,0,0,0,1,0,1,5819.0,0.054874
1,0,0,1,0,0,0,1,0,1,4548.7,0.058245
2,0,0,1,0,0,0,1,0,1,5988.2,0.054024
0,0,0,1,0,0,0,1,1,0,7116.8,0.034154
1,0,0,1,0,0,0,1,1,0,7154.2,0.03399
2,0,0,1,0,0,0,1,1,0,7182.2,0.033961
0,0,0,1,0,0,0,1,1,1,5648.9,0.053181
1,0,0,1,0,0,0,1,1,1,5714.1,0.051344
2,0,0,1,0,0,0,1,1,1,5645.3,0.050335
0,0,0,1,0,0,1,0,0,0,6936.2,0.039664
1,0,0,1,0,0,1,0,0,0,6963.0,0.035093
2,0,0,1,0,0,1,0,0,0,6913.6,0.035574
0,0,0,1,0,0,1,0,0,1,4574.9,0.056257
1,0,0,1,0,0,1,0,0,1,4839.8,0.057329
2,0,0,1,0,0,1,0,0,1,4316.6,0.058901
0,0,0,1,0,0,1,0,1,0,7124.4,0.034268
1,0,0,1,0,0,1,0,1,0,7131.1,0.034103
2,0,0,1,0,0,1,0,1,0,7112.6,0.034088
0,0,0,1,0,0,1,0,1,1,5355.1,0.060109
1,0,0,1,0,0,1,0,1,1,5280.3,0.063562
2,0,0,1,0,0,1,0,1,1,5047.7,0.059277
0,0,0,1,0,0,1,1,0,0,7024.3,0.035132
1,0,0,1,0,0,1,1,0,0,6957.9,0.035142
2,0,0,1,0,0,1,1,0,0,7030.7,0.03505
0,0,0,1,0,0,1,1,0,1,5246.7,0.056381
1,0,0,1,0,0,1,1,0,1,5085.6,0.054919
2,0,0,1,0,0,1,1,0,1,6666.9,0.046994
0,0,0,1,0,0,1,1,1,0,7094.5,0.034181
1,0,0,1,0,0,1,1,1,0,7133.1,0.033983
2,0,0,1,0,0,1,1,1,0,7115.8,0.034105
0,0,0,1,0,0,1,1,1,1,4314.6,0.064929
1,0,0,1,0,0,1,1,1,1,4065.2,0.064172
2,0,0,1,0,0,1,1,1,1,4188.8,0.062354
0,0,0,1,0,1,0,0,0,0,7040.6,0.034791
1,0,0,1,0,1,0,0,0,0,7046.4,0.034401
2,0,0,1,0,1,0,0,0,0,6952.5,0.035317
0,0,0,1,0,1,0,0,0,1,4837.3,0.056542
1,0,0,1,0,1,0,0,0,1,4651.9,0.056073
2,0,0,1,0,1,0,0,0,1,5681.2,0.05568
0,0,0,1,0,1,0,0,1,0,7212.4,0.033566
1,0,0,1,0,1,0,0,1,0,7204.6,0.033842
2,0,0,1,0,1,0,0,1,0,7198.2,0.03401
0,0,0,1,0,1,0,0,1,1,5768.8,0.048388
1,0,0,1,0,1,0,0,1,1,5289.8,0.050413
2,0,0,1,0,1,0,0,1,1,5139.7,0.051383
0,0,0,1,0,1,0,1,0,0,7019.6,0.034494
1,0,0,1,0,1,0,1,0,0,7121.1,0.034781
2,0,0,1,0,1,0,1,0,0,7052.8,0.034769
0,0,0,1,0,1,0,1,0,1,5858.4,0.055007
1,0,0,1,0,1,0,1,0,1,6199.0,0.052282
