Repl,inline-functions,unswitch-loops,predictive-commoning,gcse-after-reload,tree-loop-distribute-patterns,tree-slp-vectorize,vect-cost-model,tree-partial-pre,ipa-cp-clone,Best Rate,Avg Time
0,0,0,0,0,1,1,1,1,0,7182.2,0.033859
1,0,0,0,0,1,1,1,1,0,7151.4,0.033841
2,0,0,0,0,1,1,1,1,0,7143.0,0.033982
0,0,0,0,0,1,1,1,1,1,4699.3,0.063685
1,0,0,0,0,1,1,1,1,1,4359.4,0.061705
2,0,0,0,0,1,1,1,1,1,4289.2,0.063706
0,0,0,0,1,0,0,0,0,0,6401.4,0.039718
1,0,0,0,1,0,0,0,0,0,6178.9,0.042179
2,0,0,0,1,0,0,0,0,0,6986.1,0.038158
0,0,0,0,1,0,0,0,0,1,4801.3,0.058766
1,0,0,0,1,0,0,0,0,1,5129.0,0.055948
2,0,0,0,1,0,0,0,0,1,4613.3,0.056988
0,0,0,0,1,0,0,0,1,0,6830.0,0.037411
1,0,0,0,1,0,0,0,1,0,7039.3,0.0345
2,0,0,0,1,0,0,0,1,0,7038.3,0.034484
0,0,0,0,1,0,0,0,1,1,4703.6,0.055862
1,0,0,0,1,0,0,0,1,1,4652.5,0.057035
2,0,0,0,1,0,0,0,1,1,5031.9,0.055194
0,0,0,0,1,0,0,1,0,0,7050.7,0.03469
1,0,0,0,1,0,0,1,0,0,7080.1,0.03503
2,0,0,0,1,0,0,1,0,0,7055.3,0.034976
0,0,0,0,1,0,0,1,0,1,4507.0,0.0567
1,0,0,0,1,0,0,1,0,1,5258.2,0.054756
2,0,0,0,1,0,0,1,0,1,4347.0,0.059032
0,0,0,0,1,0,0,1,1,0,7151.2,0.033897
1,0,0,0,1,0,0,1,1,0,7204.4,0.033653
2,0,0,0,1,0,0,1,1,0,7159.0,0.034062
0,0,0,0,1,0,0,1,1,1,4727.7,0.054005
1,0,0,0,1,0,0,1,1,1,4971.8,0.052516
2,0,0,0,1,0,0,1,1,1,5121.1,0.053517
0,0,0,0,1,0,1,0,0,0,7069.6,0.035649
1,0,0,0,1,0,1,0,0,0,7052.2,0.038064
2,0,0,0,1,0,1,0,0,0,7086.8,0.034397
0,0,0,0,1,0,1,0,0,1,4779.7,0.056925
1,0,0,0,1,0,1,0,0,1,4430.8,0.058441
2,0,0,0,1,0,1,0,0,1,4455.8,0.058615
0,0,0,0,1,0,1,0,1,0,7135.0,0.034008
1,0,0,0,1,0,1,0,1,0,7207.0,0.033602
2,0,0,0,1,0,1,0,1,0,7153.8,0.033765
0,0,0,0,1,0,1,0,1,1,4722.3,0.064607
1,0,0,0,1,0,1,0,1,1,6150.4,0.0604
2,0,0,0,1,0,1,0,1,1,5183.9,0.062639
0,0,0,0,1,0,1,1,0,0,7055.5,0.034766
1,0,0,0,1,0,1,1,0,0,7058.2,0.034511
2,0,0,0,1,0,1,1,0,0,7014.3,0.035341
0,0,0,0,1,0,1,1,0,1,5364.3,0.050305
1,0,0,0,1,0,1,1,0,1,5555.4,0.050097
2,0,0,0,1,0,1,1,0,1,5877.7,0.048407
0,0,0,0,1,0,1,1,1,0,7166.7,0.033658
1,0,0,0,1,0,1,1,1,0,7193.8,0.033924
2,0,0,0,1,0,1,1,1,0,7171.6,0.033914
0,0,0,0,1,0,1,1,1,1,4694.9,0.063753
1,0,0,0,1,0,1,1,1,1,4238.3,0.064379
2,0,0,0,1,0,1,1,1,1,4087.7,0.065063
0,0,0,0,1,1,0,0,0,0,7173.2,0.035226
1,0,0,0,1,1,0,0,0,0,6971.0,0.03544
2,0,0,0,1,1,0,0,0,0,6946.1,0.03495
0,0,0,0,1,1,0,0,0,1,5244.8,0.055981
1,0,0,0,1,1,0,0,0,1,4943.5,0.054675
2,0,0,0,1,1,0,0,0,1,4482.1,0.059343
0,0,0,0,1,1,0,0,1,0,7165.5,0.033837
1,0,0,0,1,1,0,0,1,0,7111.1,0.033875
2,0,0,0,1,1,0,0,1,0,7121.0,0.034057
0,0,0,0,1,1,0,0,1,1,5419.2,0.051498
1,0,0,0,1,1,0,0,1,1,6599.5,0.049639
2,0,0,0,1,1,0,0,1,1,5560.7,0.0511
0,0,0,0,1,1,0,1,0,0,7053.4,0.034528
1,0,0,0,1,1,0,1,0,0,7013.1,0.035094
2,0,0,0,1,1,0,1,0,0,7040.8,0.034596
0,0,0,0,1,1,0,1,0,1,4596.8,0.058664
1,0,0,0,1,1,0,1,0,1,5189.3,0.059534
2,0,0,0,1,1,0,1,0,1,4657.4,0.058722
0,0,0,0,1,1,0,1,1,0,7191.1,0.034084
1,0,0,0,1,1,0,1,1,0,7180.2,0.033829
2,0,0,0,1,1,0,1,1,0,7155.4,0.033891
0,0,0,0,1,1,0,1,1,1,5044.3,0.063116
1,0,0,0,1,1,0,1,1,1,4437.9,0.061827
2,0,0,0,1,1,0,1,1,1,4830.8,0.063227
0,0,0,0,1,1,1,0,0,0,7017.1,0.035255
1,0,0,0,1,1,1,0,0,0,7030.5,0.034792
2,0,0,0,1,1,1,0,0,0,7056.3,0.034863
0,0,0,0,1,1,1,0,0,1,5687.4,0.056985
1,0,0,0,1,1,1,0,0,1,4482.2,0.058851
2,0,0,0,1,1,1,0,0,1,4628.1,0.058347
0,0,0,0,1,1,1,0,1,0,7158.4,0.033834
1,0,0,0,1,1,1,0,1,0,7173.4,0.033786
2,0,0,0,1,1,1,0,1,0,7161.8,0.03409
0,0,0,0,1,1,1,0,1,1,4074.5,0.065544
1,0,0,0,1,1,1,0,1,1,5049.2,0.060818
2,0,0,0,1,1,1,0,1,1,4010.2,0.064214
0,0,0,0,1,1,1,1,0,0,6974.3,0.034903
1,0,0,0,1,1,1,1,0,0,7075.1,0.034938
2,0,0,0,1,1,1,1,0,0,7024.5,0.034878
0,0,0,0,1,1,1,1,0,1,4643.7,0.057603
1,0,0,0,1,1,1,1,0,1,6036.2,0.053747
2,0,0,0,1,1,1,1,0,1,4437.8,0.057523
0,0,0,0,1,1,1,1,1,0,7159.2,0.033742
1,0,0,0,1,1,1,1,1,0,7179.6,0.033805
2,0,0,0,1,1,1,1,1,0,7118.1,0.034103
0,0,0,0,1,1,1,1,1,1,4806.0,0.06209
1,0,0,0,1,1,1,1,1,1,5523.1,0.058183
2,0,0,0,1,1,1,1,1,1,4032.0,0.066203
0,0,0,1,0,0,0,0,0,0,7051.2,0.03468
1,0,0,1,0,0,0,0,0,0,7072.5,0.034849
2,0,0,1,0,0,0,0,0,0,7039.5,0.035109
0,0,0,1,0,0,0,0,0,1,5642.0,0.052323
1,0,0,1,0,0,0,0,0,1,5468.5,0.054136
2,0,0,1,0,0,0,0,0,1,5078.3,0.056189
0,0,0,1,0,0,0,0,1,0,6970.7,0.034968
1,0,0,1,0,0,0,0,1,0,7042.5,0.03491
2,0,0,1,0,0,0,0,1,0,7062.6,0.034651
0,0,0,1,0,0,0,0,1,1,6573.0,0.054873
1,0,0,1,0,0,0,0,1,1,4500.2,0.058541
2,0,0,1,0,0,0,0,1,1,4650.1,0.057956
0,0,0,1,0,0,0,1,0,0,6986.1,0.035678
1,0,0,1,0,0,0,1,0,0,6994.0,0.035063
2,0,0,1,0,0,0,1,0,0,7037.1,0.034569
0,0,0,1,0,0,0,1,0,1,5864.4,0.052178
1,0,0,1,0,0,0,1,0,1,5286.3,0.057575
2,0,0,1,0,0,0,1,0,1,4852.4,0.055624
0,0,0,1,0,0,0,1,1,0,7171.7,0.033841
1,0,0,1,0,0,0,1,1,0,7174.0,0.033902
2,0,0,1,0,0,0,1,1,0,7200.7,0.033706
0,0,0,1,0,0,0,1,1,1,5529.8,0.049082
1,0,0,1,0,0,0,1,1,1,5979.5,0.051993
2,0,0,1,0,0,0,1,1,1,5666.3,0.048588
