Repl,inline-functions,unswitch-loops,predictive-commoning,gcse-after-reload,tree-loop-distribute-patterns,tree-slp-vectorize,vect-cost-model,tree-partial-pre,ipa-cp-clone,Best Rate,Avg Time
0,0,0,0,0,1,1,1,1,0,6982.9,0.023086
1,0,0,0,0,1,1,1,1,0,7016.6,0.023335
2,0,0,0,0,1,1,1,1,0,6961.6,0.02315
0,0,0,0,0,1,1,1,1,1,4723.9,0.043964
1,0,0,0,0,1,1,1,1,1,4905.3,0.040747
2,0,0,0,0,1,1,1,1,1,5003.0,0.044229
0,0,0,0,1,0,0,0,0,0,6242.7,0.027639
1,0,0,0,1,0,0,0,0,0,5904.7,0.028856
2,0,0,0,1,0,0,0,0,0,6753.0,0.026362
0,0,0,0,1,0,0,0,0,1,4248.1,0.040421
1,0,0,0,1,0,0,0,0,1,4578.6,0.041803
2,0,0,0,1,0,0,0,0,1,4298.4,0.041045
0,0,0,0,1,0,0,0,1,0,6704.1,0.0254
1,0,0,0,1,0,0,0,1,0,6816.1,0.023944
2,0,0,0,1,0,0,0,1,0,6822.4,0.023719
0,0,0,0,1,0,0,0,1,1,5187.1,0.037843
1,0,0,0,1,0,0,0,1,1,4603.9,0.040534
2,0,0,0,1,0,0,0,1,1,4440.6,0.040301
0,0,0,0,1,0,0,1,0,0,6797.2,0.024342
1,0,0,0,1,0,0,1,0,0,6791.8,0.024019
2,0,0,0,1,0,0,1,0,0,6782.0,0.024724
0,0,0,0,1,0,0,1,0,1,4676.3,0.038514
1,0,0,0,1,0,0,1,0,1,4781.8,0.04123
2,0,0,0,1,0,0,1,0,1,4315.5,0.041229
0,0,0,0,1,0,0,1,1,0,6890.9,0.023383
1,0,0,0,1,0,0,1,1,0,6956.5,0.023216
2,0,0,0,1,0,0,1,1,0,6968.9,0.023244
0,0,0,0,1,0,0,1,1,1,5243.2,0.035941
1,0,0,0,1,0,0,1,1,1,5278.4,0.037123
2,0,0,0,1,0,0,1,1,1,5227.4,0.036335
0,0,0,0,1,0,1,0,0,0,6772.2,0.024459
1,0,0,0,1,0,1,0,0,0,6663.9,0.025705
2,0,0,0,1,0,1,0,0,0,6836.8,0.023925
0,0,0,0,1,0,1,0,0,1,4431.6,0.038794
1,0,0,0,1,0,1,0,0,1,4433.1,0.039819
2,0,0,0,1,0,1,0,0,1,4217.0,0.041847
0,0,0,0,1,0,1,0,1,0,6921.0,0.023327
1,0,0,0,1,0,1,0,1,0,6976.8,0.023409
2,0,0,0,1,0,1,0,1,0,6979.9,0.023553
0,0,0,0,1,0,1,0,1,1,3889.6,0.045624
1,0,0,0,1,0,1,0,1,1,4695.3,0.046597
2,0,0,0,1,0,1,0,1,1,4794.6,0.044563
0,0,0,0,1,0,1,1,0,0,6870.5,0.023694
1,0,0,0,1,0,1,1,0,0,6785.1,0.024116
2,0,0,0,1,0,1,1,0,0,6823.3,0.023848
0,0,0,0,1,0,1,1,0,1,5489.8,0.034501
1,0,0,0,1,0,1,1,0,1,5661.1,0.033498
2,0,0,0,1,0,1,1,0,1,5090.0,0.036256
0,0,0,0,1,0,1,1,1,0,6924.0,0.023389
1,0,0,0,1,0,1,1,1,0,6939.6,0.023294
2,0,0,0,1,0,1,1,1,0,6936.6,0.023174
0,0,0,0,1,0,1,1,1,1,4127.4,0.043672
1,0,0,0,1,0,1,1,1,1,3696.7,0.045743
2,0,0,0,1,0,1,1,1,1,4437.5,0.044308
0,0,0,0,1,1,0,0,0,0,6884.9,0.023588
1,0,0,0,1,1,0,0,0,0,6909.0,0.023641
2,0,0,0,1,1,0,0,0,0,6856.0,0.024016
0,0,0,0,1,1,0,0,0,1,4733.9,0.040359
1,0,0,0,1,1,0,0,0,1,4577.5,0.03943
2,0,0,0,1,1,0,0,0,1,4548.7,0.039015
0,0,0,0,1,1,0,0,1,0,7008.0,0.0231
1,0,0,0,1,1,0,0,1,0,6997.7,0.023192
2,0,0,0,1,1,0,0,1,0,7012.9,0.023022
0,0,0,0,1,1,0,0,1,1,6403.0,0.032513
1,0,0,0,1,1,0,0,1,1,6452.9,0.032301
2,0,0,0,1,1,0,0,1,1,5042.6,0.035151
0,0,0,0,1,1,0,1,0,0,6908.8,0.023806
1,0,0,0,1,1,0,1,0,0,6878.7,0.02359
2,0,0,0,1,1,0,1,0,0,6910.8,0.023677
0,0,0,0,1,1,0,1,0,1,4392.2,0.039753
1,0,0,0,1,1,0,1,0,1,4495.9,0.039384
2,0,0,0,1,1,0,1,0,1,4525.4,0.038849
0,0,0,0,1,1,0,1,1,0,7049.1,0.022997
1,0,0,0,1,1,0,1,1,0,7032.6,0.023241
2,0,0,0,1,1,0,1,1,0,6939.3,0.023273
0,0,0,0,1,1,0,1,1,1,4941.8,0.045234
1,0,0,0,1,1,0,1,1,1,6397.7,0.039147
2,0,0,0,1,1,0,1,1,1,4338.9,0.043833
0,0,0,0,1,1,1,0,0,0,6824.2,0.023844
1,0,0,0,1,1,1,0,0,0,6975.6,0.023681
2,0,0,0,1,1,1,0,0,0,6859.5,0.023917
0,0,0,0,1,1,1,0,0,1,6584.1,0.036604
1,0,0,0,1,1,1,0,0,1,4467.6,0.038724
2,0,0,0,1,1,1,0,0,1,5007.5,0.039248
0,0,0,0,1,1,1,0,1,0,6978.7,0.023243
1,0,0,0,1,1,1,0,1,0,7000.4,0.023189
2,0,0,0,1,1,1,0,1,0,6988.4,0.023091
0,0,0,0,1,1,1,0,1,1,4676.9,0.040964
1,0,0,0,1,1,1,0,1,1,4577.3,0.041781
2,0,0,0,1,1,1,0,1,1,3817.7,0.044462
0,0,0,0,1,1,1,1,0,0,6877.2,0.023769
1,0,0,0,1,1,1,1,0,0,6881.8,0.023543
2,0,0,0,1,1,1,1,0,0,6836.1,0.023931
0,0,0,0,1,1,1,1,0,1,4562.9,0.040109
1,0,0,0,1,1,1,1,0,1,4546.7,0.038966
2,0,0,0,1,1,1,1,0,1,5888.0,0.037835
0,0,0,0,1,1,1,1,1,0,6974.7,0.023128
1,0,0,0,1,1,1,1,1,0,6989.6,0.023269
2,0,0,0,1,1,1,1,1,0,6981.1,0.023148
0,0,0,0,1,1,1,1,1,1,4532.2,0.042099
1,0,0,0,1,1,1,1,1,1,5709.8,0.039332
2,0,0,0,1,1,1,1,1,1,4380.2,0.042983
0,0,0,1,0,0,0,0,0,0,6834.1,0.024142
1,0,0,1,0,0,0,0,0,0,6835.8,0.023682
2,0,0,1,0,0,0,0,0,0,6790.0,0.023968
0,0,0,1,0,0,0,0,0,1,4276.0,0.042017
1,0,0,1,0,0,0,0,0,1,5260.1,0.037796
2,0,0,1,0,0,0,0,0,1,5215.1,0.039548
0,0,0,1,0,0,0,0,1,0,6825.1,0.023755
1,0,0,1,0,0,0,0,1,0,6761.3,0.024694
2,0,0,1,0,0,0,0,1,0,6840.8,0.024245
0,0,0,1,0,0,0,0,1,1,4345.0,0.039998
1,0,0,1,0,0,0,0,1,1,4322.1,0.041814
2,0,0,1,0,0,0,0,1,1,4792.7,0.03919
